original_variable,continuity_variable,category_1,category_2,coverage
capital_expenditure_financed_from_the_housing_revenue_account,HRA CERA,CERA,Component,Financing
finfundhra_amt,HRA CERA,CERA,Component,Financing
x2003_04_income_accrued_in_03_04_but_received_in_04_05,Income accrued in the previous year but received this year,,,Receipts
investments_as_at_1_april,Investments,Year open,,Prudential
investments_as_at_1_april_2004,Investments,Year open,,Prudential
investments_as_at_31_march,Investments,Year end,,Prudential
investments_as_at_31_march_2005,Investments,Year end,,Prudential
pruinv_chng,Investments,In-year change,,Prudential
pruinv_end,Investments,Year end,,Prudential
pruinv_strt,Investments,Year open,,Prudential
finothgla_amt,Loans and other assistance from GLA bodies,Borrowing,Component,Financing
finothlep_amt,Loans and other assistance from LEPs,Borrowing,Component,Financing
finothla_amt,Loans other assistance from other local authorities ,Borrowing,Component,Financing
m4_section_16_2_b_local_public_service_agreements,Local public service agreements,Use of capitalisation,memo,Other spending
capital_expenditure_financed_by_the_major_repairs_reserve,Major Repairs Reserve CERA,CERA,Component,Financing
capital_expenditure_financed_from_the_major_repairs_reserve_mrr,Major Repairs Reserve CERA,CERA,Component,Financing
finfundmrr_amt,Major Repairs Reserve CERA,CERA,Component,Financing
prubrwnet_chng,Net external debt,In-year change,,Prudential
prubrwnet_end,Net external debt,Year end,,Prudential
prubrwnet_strt,Net external debt,Year open,,Prudential
finothpfi_amt,On-balance sheet PFI financing,memo,memo,Financing
operational_boundary_for_external_debt_as_1_apr,Operational boundary,Year open,,Prudential
operational_boundary_for_external_debt_at_1_april,Operational boundary,Year open,,Prudential
operational_boundary_for_external_debt_at_1_april_2004,Operational boundary,Year open,,Prudential
operational_boundary_for_external_debt_at_31_march,Operational boundary,Year end,,Prudential
operational_boundary_for_external_debt_at_31_march_2005,Operational boundary,Year end,,Prudential
prubdy_end,Operational boundary,Year end,,Prudential
prubdy_strt,Operational boundary,Year open,,Prudential
finothoth_amt,Other borrowing and credit arrangements not supported by central government ,Borrowing,Component,Financing
